title,description,eatinprice,takeoutprice,menu,parent,takeout,eatin
Bacon,Succulent and tasty bacon on either a soft white or brown floured bap,2.5,2.2,Breakfast,0,1,1
Add an egg,,2.7,2.4,Breakfast,Bacon,1,1
Add a sausage,,2.95,2.65,Breakfast,Bacon,1,1
Add both,,3.15,2.85,Breakfast,Bacon,1,1
Sausage,High quality full-flavoured pork sausages on either a soft white or brown floured bap,2.6,2.3,Breakfast,0,1,1
Add an egg,,2.85,2.5,Breakfast,Sausage,1,1
Breakfast Wrap,"Bacon, sausage, egg, hash brown and a sprinkling of our mature cheddar cheese all wrapped up in a soft flour tortilla",2.95,2.75,Breakfast,0,1,1
Traditional English Breakfast,"As you would expect, a full English breakfast including 2 rashers of bacon, 2 sausages, an egg, hash brown, baked beans, mushrooms, grilled tomato and a black pudding. Includes two rounds of toast and a tea or coffee.",4.95,3.95,Breakfast,0,1,1
Additional Item,,0.5,0.5,Breakfast,Traditional English Breakfast,1,1
Toasted Bagel,"Choose from our range of bagels, from plain to wholegrain, toasted with lashings of butter",1.45,1.15,Breakfast,0,1,1
With scrambled egg,,2.25,1.95,Breakfast,Toasted Bagel,1,1
Crumpets,Two toasted crumpets with plenty of butter,1.25,0.95,Breakfast,0,1,1
Omelette,A light and fluffy omelette with our mature cheddar cheese,0,0,Breakfast,0,0,1
"Plain, with a side salad",,2.45,0,Breakfast,Omelette,0,1
Additional Items,,0.4,0.4,Breakfast,Omelette,0,1
Croissant,"A warm, freshly baked croissant - fill with jam or butter for a delicious breakfast",1.25,0.95,Breakfast,0,1,1
Additional Items,,0.3,0.3,Breakfast,0,1,1
Bacon,,,,Breakfast,Additional Items,1,1
Sausage,,,,Breakfast,Additional Items,1,1
Hash Browns,,,,Breakfast,Additional Items,1,1
Mushrooms,,,,Breakfast,Additional Items,1,1
Black Pudding,,,,Breakfast,Additional Items,1,1
Crumpets & Tuna Melt with Salad,"Two toasted crumpets wuth tuna, mayo and mozzarella topping - a very tasty lunch!",3.25,0,Lunch,0,0,1
Caesar Salad,"Fresh traditional green salad with homemade salt and pepper croutons, served with our caesar dressing.",2.95,0,Lunch,0,0,1
With grilled & seasoned 100% chicken breast,,4.95,0,Lunch,Caesar Salad,0,1
